xflr5 v6.43

Plane name :        Plane Name
Polar name :        T2-VLM2-0.7kg-x0.1m

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000   0.062663   0.002555   0.020645   0.023200  -0.000000   0.000000   0.184950   0.000000   0.000000   18.9167    -0.6606
   -2.500     0.000   0.107918   0.002647   0.019781   0.022428  -0.000000   0.000000   0.171992   0.000000   0.000000   14.4146    -0.3178
   -2.000     0.000   0.153175   0.002912   0.019672   0.022584  -0.000000   0.000000   0.158983   0.000000   0.000000   12.0992    -0.1775
   -1.500     0.000   0.198424   0.003351   0.019339   0.022689  -0.000000   0.000000   0.145886   0.000000   0.000000   10.6305    -0.1012
   -1.000     0.000   0.243658   0.003963   0.018933   0.022896  -0.000000   0.000000   0.132731   0.000000   0.000000    9.5931    -0.0532
   -0.500     0.000   0.288869   0.004748   0.017989   0.022736  -0.000000   0.000000   0.119520   0.000000   0.000000    8.8105    -0.0203
    0.000     0.000   0.334049   0.005706   0.017890   0.023596  -0.000000   0.000000   0.106245   0.000000   0.000000    8.1930     0.0037
    0.500     0.000   0.379189   0.006837   0.018044   0.024882  -0.000000   0.000000   0.092951   0.000000   0.000000    7.6899     0.0221
    1.000     0.000   0.424283   0.008140   0.018741   0.026881  -0.000000   0.000000   0.079625   0.000000   0.000000    7.2698     0.0365
    1.500     0.000   0.469321   0.009615   0.019295   0.028910  -0.000000   0.000000   0.066243   0.000000   0.000000    6.9122     0.0481
    2.000     0.000   0.514296   0.011260   0.019737   0.030997  -0.000000   0.000000   0.052877   0.000000   0.000000    6.6030     0.0577
    2.500     0.000   0.559200   0.013075   0.020553   0.033628  -0.000000   0.000000   0.039419   0.000000   0.000000    6.3324     0.0658
    3.000     0.000   0.604026   0.015059   0.020837   0.035897  -0.000000   0.000000   0.025986   0.000000   0.000000    6.0929     0.0727
    3.500     0.000   0.648765   0.017211   0.021106   0.038317  -0.000000   0.000000   0.012554   0.000000   0.000000    5.8790     0.0786
    4.000     0.000   0.693409   0.019529   0.021309   0.040838  -0.000000   0.000000  -0.000891   0.000000   0.000000    5.6866     0.0838
    4.500     0.000   0.737951   0.022012   0.021476   0.043488  -0.000000   0.000000  -0.014319   0.000000   0.000000    5.5123     0.0883
    5.000     0.000   0.782383   0.024659   0.021662   0.046320  -0.000000   0.000000  -0.027722   0.000000   0.000000    5.3535     0.0924
    5.500     0.000   0.826698   0.027467   0.021882   0.049349  -0.000000   0.000000  -0.041134   0.000000   0.000000    5.2081     0.0960
    6.000     0.000   0.870887   0.030435   0.022015   0.052450  -0.000000   0.000000  -0.054542   0.000000   0.000000    5.0742     0.0992
    6.500     0.000   0.914943   0.033562   0.022432   0.055993  -0.000000   0.000000  -0.067970   0.000000   0.000000    4.9505     0.1022
    7.000     0.000   0.958859   0.036844   0.022822   0.059667  -0.000000   0.000000  -0.081388   0.000000   0.000000    4.8358     0.1049
    7.500     0.000   1.002627   0.040280   0.023310   0.063590  -0.000000   0.000000  -0.094759   0.000000   0.000000    4.7291     0.1073
    8.000     0.000   1.046240   0.043868   0.023931   0.067799  -0.000000   0.000000  -0.108110   0.000000   0.000000    4.6295     0.1096
    8.500     0.000   1.089690   0.047605   0.025187   0.072792  -0.000000   0.000000  -0.121548   0.000000   0.000000    4.5363     0.1117
    9.000     0.000   1.132970   0.051489   0.026919   0.078408  -0.000000   0.000000  -0.134855   0.000000   0.000000    4.4488     0.1136
    9.500     0.000   1.176073   0.055517   0.029789   0.085306  -0.000000   0.000000  -0.148125   0.000000   0.000000    4.3665     0.1154
   10.000     0.000   1.218991   0.059686   0.035563   0.095249  -0.000000   0.000000  -0.161333   0.000000   0.000000    4.2889     0.1171
   10.500     0.000   1.261719   0.063994   0.041991   0.105985  -0.000000   0.000000  -0.174510   0.000000   0.000000    4.2157     0.1187


