xflr5 v6.43

Plane name :        s20148 plane1
Polar name :        Plane_stabH

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.000     0.000   0.137080   0.002922   0.015578   0.018500  -0.000000   0.000000   0.140240   0.000000   0.000000   12.6226    -0.1887
   -2.500     0.000   0.180508   0.003366   0.015436   0.018802  -0.000000   0.000000   0.126222   0.000000   0.000000   10.9998    -0.0988
   -2.000     0.000   0.223920   0.003982   0.015716   0.019699  -0.000000   0.000000   0.112151   0.000000   0.000000    9.8762    -0.0438
   -1.500     0.000   0.267309   0.004769   0.016223   0.020992  -0.000000   0.000000   0.098028   0.000000   0.000000    9.0391    -0.0067
   -1.000     0.000   0.310667   0.005728   0.016929   0.022657  -0.000000   0.000000   0.083854   0.000000   0.000000    8.3847     0.0201
   -0.500     0.000   0.353986   0.006856   0.017374   0.024231  -0.000000   0.000000   0.069637   0.000000   0.000000    7.8549     0.0403
    0.000     0.000   0.397258   0.008155   0.017650   0.025805  -0.000000   0.000000   0.055381   0.000000   0.000000    7.4148     0.0561
    0.500     0.000   0.440476   0.009623   0.017898   0.027522  -0.000000   0.000000   0.041094   0.000000   0.000000    7.0416     0.0689
    1.000     0.000   0.483632   0.011260   0.017953   0.029213  -0.000000   0.000000   0.026780   0.000000   0.000000    6.7201     0.0793
    1.500     0.000   0.526718   0.013065   0.017809   0.030874  -0.000000   0.000000   0.012445   0.000000   0.000000    6.4394     0.0880
    2.000     0.000   0.569727   0.015036   0.017658   0.032693  -0.000000   0.000000  -0.001905   0.000000   0.000000    6.1916     0.0955
    2.500     0.000   0.612650   0.017172   0.017834   0.035006  -0.000000   0.000000  -0.016261   0.000000   0.000000    5.9707     0.1019
    3.000     0.000   0.655481   0.019472   0.018007   0.037479  -0.000000   0.000000  -0.030619   0.000000   0.000000    5.7724     0.1074
    3.500     0.000   0.698211   0.021935   0.018150   0.040085  -0.000000   0.000000  -0.044967   0.000000   0.000000    5.5930     0.1123
    4.000     0.000   0.740833   0.024559   0.018287   0.042847  -0.000000   0.000000  -0.059311   0.000000   0.000000    5.4297     0.1166
    4.500     0.000   0.783340   0.027343   0.018446   0.045789  -0.000000   0.000000  -0.073650   0.000000   0.000000    5.2803     0.1205
    5.000     0.000   0.825724   0.030284   0.018657   0.048941  -0.000000   0.000000  -0.087979   0.000000   0.000000    5.1430     0.1240
    5.500     0.000   0.867978   0.033381   0.018920   0.052301  -0.000000   0.000000  -0.102294   0.000000   0.000000    5.0163     0.1271
    6.000     0.000   0.910094   0.036631   0.019276   0.055907  -0.000000   0.000000  -0.116591   0.000000   0.000000    4.8988     0.1300
    6.500     0.000   0.952066   0.040033   0.019750   0.059783  -0.000000   0.000000  -0.130868   0.000000   0.000000    4.7896     0.1326
    7.000     0.000   0.993886   0.043583   0.020321   0.063904  -0.000000   0.000000  -0.145119   0.000000   0.000000    4.6878     0.1351
    7.500     0.000   1.035546   0.047281   0.020971   0.068252  -0.000000   0.000000  -0.159344   0.000000   0.000000    4.5925     0.1373
    8.000     0.000   1.077040   0.051123   0.021638   0.072760  -0.000000   0.000000  -0.173538  -0.000000   0.000000    4.5032     0.1394
    8.500     0.000   1.118361   0.055106   0.024529   0.079634  -0.000000   0.000000  -0.187674  -0.000000   0.000000    4.4192     0.1413
    9.000     0.000   1.159502   0.059228   0.028573   0.087801  -0.000000   0.000000  -0.201764  -0.000000   0.000000    4.3401     0.1431
    9.500     0.000   1.200456   0.063486   0.032201   0.095687  -0.000000   0.000000  -0.215817  -0.000000   0.000000    4.2654     0.1448
   10.000     0.000   1.241216   0.067877   0.039359   0.107236  -0.000000   0.000000  -0.229827  -0.000000   0.000000    4.1948     0.1464


