xflr5 v6.43

Plane name :        s20148 plane1
Polar name :        Plane_stabH

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.500     0.000   0.104273   0.003114   0.015508   0.018622   0.000000   0.000000   0.024973   0.000000   0.000000   13.9819     0.0303
   -3.000     0.000   0.146235   0.003445   0.015648   0.019093   0.000000   0.000000   0.020602   0.000000   0.000000   11.8067     0.0571
   -2.500     0.000   0.188187   0.003934   0.015479   0.019412   0.000000   0.000000   0.016200   0.000000   0.000000   10.4078     0.0720
   -2.000     0.000   0.230122   0.004579   0.015663   0.020242   0.000000   0.000000   0.011770   0.000000   0.000000    9.4118     0.0814
   -1.500     0.000   0.272032   0.005382   0.016234   0.021616   0.000000   0.000000   0.007315   0.000000   0.000000    8.6565     0.0880
   -1.000     0.000   0.313910   0.006342   0.016840   0.023181   0.000000   0.000000   0.002835   0.000000   0.000000    8.0584     0.0928
   -0.500     0.000   0.355748   0.007457   0.017252   0.024709   0.000000   0.000000  -0.001668   0.000000   0.000000    7.5697     0.0965
    0.000     0.000   0.397541   0.008729   0.017494   0.026224   0.000000   0.000000  -0.006192   0.000000   0.000000    7.1608     0.0994
    0.500     0.000   0.439279   0.010156   0.017773   0.027929   0.000000   0.000000  -0.010738   0.000000   0.000000    6.8121     0.1017
    1.000     0.000   0.480956   0.011738   0.017843   0.029581   0.000000   0.000000  -0.015305   0.000000   0.000000    6.5103     0.1037
    1.500     0.000   0.522565   0.013473   0.017831   0.031304   0.000000   0.000000  -0.019890   0.000000   0.000000    6.2457     0.1053
    2.000     0.000   0.564099   0.015360   0.017757   0.033117   0.000000   0.000000  -0.024492   0.000000   0.000000    6.0114     0.1067
    2.500     0.000   0.605549   0.017399   0.017945   0.035344   0.000000   0.000000  -0.029109   0.000000   0.000000    5.8020     0.1080
    3.000     0.000   0.646910   0.019588   0.018177   0.037765   0.000000   0.000000  -0.033738   0.000000   0.000000    5.6135     0.1090
    3.500     0.000   0.688174   0.021926   0.018412   0.040338   0.000000   0.000000  -0.038379   0.000000   0.000000    5.4426     0.1100
    4.000     0.000   0.729334   0.024411   0.018613   0.043024   0.000000   0.000000  -0.043029   0.000000   0.000000    5.2868     0.1109
    4.500     0.000   0.770384   0.027042   0.018834   0.045876   0.000000   0.000000  -0.047686   0.000000   0.000000    5.1440     0.1116
    5.000     0.000   0.811315   0.029817   0.019076   0.048892   0.000000   0.000000  -0.052348   0.000000  -0.000000    5.0125     0.1123
    5.500     0.000   0.852121   0.032734   0.019373   0.052107   0.000000   0.000000  -0.057013   0.000000  -0.000000    4.8911     0.1130
    6.000     0.000   0.892795   0.035791   0.019722   0.055513   0.000000   0.000000  -0.061678   0.000000  -0.000000    4.7783     0.1136
    6.500     0.000   0.933331   0.038986   0.020194   0.059180   0.000000   0.000000  -0.066341   0.000000  -0.000000    4.6734     0.1141
    7.000     0.000   0.973722   0.042318   0.020740   0.063058   0.000000   0.000000  -0.071001   0.000000  -0.000000    4.5755     0.1146
    7.500     0.000   1.013961   0.045783   0.021353   0.067136   0.000000   0.000000  -0.075654   0.000000  -0.000000    4.4838     0.1151
    8.000     0.000   1.054041   0.049380   0.021927   0.071307   0.000000   0.000000  -0.080302   0.000000  -0.000000    4.3977     0.1156
    8.500     0.000   1.093956   0.053106   0.024693   0.077800   0.000000   0.000000  -0.084918   0.000000  -0.000000    4.3167     0.1160
    9.000     0.000   1.133699   0.056959   0.028645   0.085603   0.000000   0.000000  -0.089505   0.000000  -0.000000    4.2404     0.1164
    9.500     0.000   1.173264   0.060935   0.032222   0.093157   0.000000   0.000000  -0.094075   0.000000  -0.000000    4.1683     0.1168
   10.000     0.000   1.212645   0.065032   0.039184   0.104216   0.000000   0.000000  -0.098616   0.000000  -0.000000    4.1000     0.1172


