xflr5 v6.43

Plane name :        Plane Name
Polar name :        T2-VLM2-0.7kg-x0.1m

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -3.500     0.000   0.060016   0.002707   0.020346   0.023053  -0.000000   0.000000   0.194730   0.000000   0.000000   19.3293    -0.7350
   -3.000     0.000   0.105258   0.002785   0.019768   0.022553  -0.000000   0.000000   0.181826   0.000000   0.000000   14.5956    -0.3517
   -2.500     0.000   0.150503   0.003036   0.019652   0.022688  -0.000000   0.000000   0.168911   0.000000   0.000000   12.2061    -0.1989
   -2.000     0.000   0.195742   0.003460   0.019259   0.022719  -0.000000   0.000000   0.155903   0.000000   0.000000   10.7030    -0.1167
   -1.500     0.000   0.240969   0.004056   0.018886   0.022942  -0.000000   0.000000   0.142836   0.000000   0.000000    9.6465    -0.0653
   -1.000     0.000   0.286174   0.004826   0.017891   0.022717  -0.000000   0.000000   0.129711   0.000000   0.000000    8.8519    -0.0302
   -0.500     0.000   0.331350   0.005768   0.017724   0.023492  -0.000000   0.000000   0.116503   0.000000   0.000000    8.2263    -0.0047
    0.000     0.000   0.376489   0.006883   0.017980   0.024863  -0.000000   0.000000   0.103289   0.000000   0.000000    7.7174     0.0148
    0.500     0.000   0.421582   0.008170   0.018673   0.026843  -0.000000   0.000000   0.090059   0.000000   0.000000    7.2930     0.0300
    1.000     0.000   0.466623   0.009628   0.019214   0.028843  -0.000000   0.000000   0.076759   0.000000   0.000000    6.9321     0.0423
    1.500     0.000   0.511602   0.011257   0.019749   0.031006  -0.000000   0.000000   0.063450   0.000000   0.000000    6.6204     0.0525
    2.000     0.000   0.556513   0.013056   0.020528   0.033584  -0.000000   0.000000   0.050079   0.000000   0.000000    6.3476     0.0610
    2.500     0.000   0.601347   0.015024   0.020828   0.035852  -0.000000   0.000000   0.036711   0.000000   0.000000    6.1064     0.0682
    3.000     0.000   0.646096   0.017159   0.021105   0.038264  -0.000000   0.000000   0.023343   0.000000   0.000000    5.8912     0.0745
    3.500     0.000   0.690753   0.019461   0.021300   0.040760  -0.000000   0.000000   0.009966   0.000000   0.000000    5.6975     0.0799
    4.000     0.000   0.735309   0.021928   0.021506   0.043434  -0.000000   0.000000  -0.003411   0.000000   0.000000    5.5222     0.0847
    4.500     0.000   0.779758   0.024558   0.021704   0.046262  -0.000000   0.000000  -0.016759   0.000000   0.000000    5.3625     0.0890
    5.000     0.000   0.824091   0.027351   0.021889   0.049240  -0.000000   0.000000  -0.030113   0.000000   0.000000    5.2163     0.0927
    5.500     0.000   0.868300   0.030304   0.022015   0.052318  -0.000000   0.000000  -0.043464   0.000000   0.000000    5.0818     0.0962
    6.000     0.000   0.912379   0.033415   0.022453   0.055868  -0.000000   0.000000  -0.056835   0.000000   0.000000    4.9575     0.0992
    6.500     0.000   0.956319   0.036683   0.022810   0.059493  -0.000000   0.000000  -0.070189   0.000000   0.000000    4.8423     0.1021
    7.000     0.000   1.000114   0.040105   0.023297   0.063402  -0.000000   0.000000  -0.083504   0.000000   0.000000    4.7350     0.1046
    7.500     0.000   1.043755   0.043679   0.023865   0.067544  -0.000000   0.000000  -0.096779   0.000000   0.000000    4.6350     0.1070
    8.000     0.000   1.087235   0.047403   0.025153   0.072556  -0.000000   0.000000  -0.110175   0.000000   0.000000    4.5414     0.1092
    8.500     0.000   1.130547   0.051274   0.026886   0.078160  -0.000000   0.000000  -0.123434   0.000000   0.000000    4.4535     0.1112
    9.000     0.000   1.173684   0.055290   0.029762   0.085052  -0.000000   0.000000  -0.136656   0.000000   0.000000    4.3709     0.1131
    9.500     0.000   1.216639   0.059448   0.035559   0.095008  -0.000000   0.000000  -0.149828   0.000000   0.000000    4.2931     0.1149
   10.000     0.000   1.259404   0.063746   0.041984   0.105729  -0.000000   0.000000  -0.162962   0.000000   0.000000    4.2196     0.1165


